GMYC_spec,sample_name
1,Aureobasidium_MCA7096
1,Aureobasidium_MCA7156
2,Aureobasidium_INDP43
2,Aureobasidium_MCA3890
3,XM029906010_Aureobasidium_pullulans_EXF150
3,Aureobasidium_JB68
3,Aureobasidium_JB70_EF1a
4,Aureobasidium_SA46
4,Aureobasidium_SA57
5,Aureobasidium_MCA5020
5,Aureobasidium_MCA7640
5,Aureobasidium_TAR230
6,Aureobasidium_INDP41
7,XM013574385_Aureobasidium_namibiae_EF1a_CBS14797_TYPE
8,HU9190_Aureobasidium_sp_EF1a
9,Aureobasidium_MT159
10,Aureobasidium_MCA7097
11,Aureobasidium_MCA7387
12,EU719352_Aureobasidium_thailandense_NRRL58539_HOLOTYPE
13,KF758576_Aureobasidium_iranianum_CCTU268_HOLOTYPE
14,Aureobasidium_MCA7731
