GMYC_spec,sample_name
1,XM013574385_Aureobasidium_namibiae_EF1a_CBS14797_TYPE
1,Aureobasidium_MCA7096
1,Aureobasidium_MCA7156
2,Aureobasidium_INDP43
2,Aureobasidium_MCA3890
3,Aureobasidium_MCA5020
3,Aureobasidium_MCA7640
3,Aureobasidium_TAR230
4,XM029906010_Aureobasidium_pullulans_EXF150
4,Aureobasidium_JB68
4,Aureobasidium_JB70_EF1a
5,Aureobasidium_SA46
5,Aureobasidium_SA57
6,Aureobasidium_INDP41
7,HU9190_Aureobasidium_sp_EF1a
8,Aureobasidium_MT159
9,Aureobasidium_MCA7097
10,Aureobasidium_MCA7387
11,EU719352_Aureobasidium_thailandense_NRRL58539_HOLOTYPE
12,KF758576_Aureobasidium_iranianum_CCTU268_HOLOTYPE
13,Aureobasidium_MCA7731
