GMYC_spec,sample_name
1,Aureobasidium_MCA5020
1,Aureobasidium_MCA7640
1,Aureobasidium_TAR230
2,Aureobasidium_INDP43
2,Aureobasidium_MCA3890
3,Aureobasidium_MCA7387
3,Aureobasidium_SA46
3,Aureobasidium_SA57
4,Aureobasidium_MCA7096
4,Aureobasidium_MCA7156
5,Aureobasidium_JB68
5,Aureobasidium_JB70_EF1a
6,Aureobasidium_INDP41
7,XM013574385_Aureobasidium_namibiae_EF1a_CBS14797_TYPE
8,HU9190_Aureobasidium_sp_EF1a
9,XM029906010_Aureobasidium_pullulans_EXF150
10,Aureobasidium_MT159
11,Aureobasidium_MCA7097
12,EU719352_Aureobasidium_thailandense_NRRL58539_HOLOTYPE
13,KF758576_Aureobasidium_iranianum_CCTU268_HOLOTYPE
14,Aureobasidium_MCA7731
