GMYC_spec,sample_name
1,Aureobasidium_MCA5020_ELO2
1,FJ039812_Aureobasidium_melanogenum_CBS10522_ELO2
1,Aureobasidium_MCA7640_ELO2
1,Aureobasidium_TAR230_ELO2
2,Aureobasidium_INDP43_ELO2
2,Aureobasidium_MCA3890_ELO2
3,Aureobasidium_MCA7096_ELO2
3,Aureobasidium_MCA7156_ELO2
4,Aureobasidium_JB70_ELO2
4,Aureobasidium_sp_JB68_ELO2_new
4,FJ039823_Aureobasidium_microstictum_CBS34266_ELO2
4,FJ039824_Aureobasidium_pullulans_CBS14630_EXF150_ELO2_TYPE
4,FJ039834_Aureobasidium_pullulans_CBS70176_ELO2_TYPE
4,FJ039835_Aureobasidium_pullulans_CBS58475_ELO2_TYPE
5,Aureobasidium_SA46_ELO2
5,Aureobasidium_SA57_ELO2
6,FJ039847_Selenophoma_mahoniae_CBS_388_92_ELO
6,Aureobasidium_HU9190_ELO2
6,FJ039845_Aureobasidium_subglaciale_EXF2481_ELO2
7,FJ039839_Aureobasidium_pullulans_var_aubasidani_CBS100524_ELO2_TYPE
8,FJ039840_Aureobasidium_lini_CBS12521_ELO2
9,Aureobasidium_MT159_ELO2
10,Aureobasidium_INDP41_ELO2
11,FJ039822_Aureobasidium_namibiae_CBS14797_ELO2
12,FJ039836_Aureobasidium_caulivorum_CBS24264_ELO2
13,FJ039848_Aureobasidium_microstictum_CBS11464_ELO2
14,Aureobasidium_MCA7387_ELO2
15,Aureobasidium_MCA7731_ELO2
16,Aureobasidium_sp_MCA7097_ELO2_new
