GMYC_spec,sample_name
1,Aureobasidium_pullulans_HU9190_mtSSU
1,Aureobasidium_pullulans_MCA7097_mtSSU
1,Aureobasidium_pullulans_MCA7156_mtSSU
1,Aureobasidium_sp_INDP43_mtSSU_new
1,Aureobasidium_sp_MCA7096_mtSSU_new
1,Aureobasidium_pullulans_MCA7640_mtSSU
1,Aureobasidium_sp_TAR230_mtSSU_new
1,Aureobasidium_sp_MT159_mtSSU_MS1_new
1,Aureobasidium_sp_JB68_mtSSU
1,Aureobasidium_sp_JB70_mtSSU
2,Aureobasidium_sp_SA57_mtSSU
2,Aureobasidium_sp_MCA7387_mtSSU_new
2,Aureobasidium_sp_SA46_mtSSU_new
3,Aureobasidium_pullulans_MCA7731_mtSSU
