GMYC_spec,sample_name
1,KT693978_Aureobasidium_subglaciale_CBS123387_TYPE
1,KT693979_Aureobasidium_subglaciale_CBS_123388_RPB2
2,Aureobasidium_INDP43
2,Aureobasidium_MCA3890
3,Aureobasidium_MCA7096
3,Aureobasidium_MCA7156
4,Aureobasidium_sp_JB68_RPB2_5F_new
4,Aureobasidium_sp_JB70_RPB2_short
5,KT693975_Aureobasidium_proteae_CBS111973_EPITYPE
5,KT693976_Aureobasidium_pullulans_CBS58475_NEOTYPE
5,KT693980_Columnosphaeria_fagi_CBS_171_93_RPB2
5,KT693985_Kabatiella_microsticta_CBS34266
6,Aureobasidium_HU9190
7,Aureobasidium_INDP41
8,KT693970_Aureobasidium_leucospermi_CBS130593_TYPE
9,KT693973_Aureobasidium_namibiae_CBS14797_TYPE
10,Aureobasidium_sp_MCA7640_RPB2_PenR4_new
11,KT693972_Aureobasidium_melanogenum_CBS10522_TYPE
12,Aureobasidium_MT159
13,KT693984_Aureobasidium_lini_CBS12521_TYPE
14,KT693987_Selenophoma_mahoniae_CBS_388_92_RPB2
15,KT693983_Aureobasidium_caulivorum_CBS24264_RPB2
16,KT693981_Aureobasidium_bupleuri_CBS131304_RPB2
17,KT693986_Aureobasidium_microstictum_CBS11464
18,Aureobasidium_MCA7097
19,Aureobasidium_MCA7387
20,Aureobasidium_SA46
21,Aureobasidium_SA57
22,EU719566_Aureobasidium_thailandense_CU26_NRRL58539_HOLOTYPE
23,Aureobasidium_MCA7731
