GMYC_spec,sample_name
1,Aureobasidium_HU9190_TUB
1,XM_013493393_Aureobasidium_subglaciale_EXF2481
2,XM_013568929_Aureobasidium_namibiae_CBS14797
2,Aureobasidium_MCA7096_TUB
2,Aureobasidium_MCA7156_TUB
3,Aureobasidium_INDP43_TUB
3,Aureobasidium_MCA3890_TUB
4,Aureobasidium_pullulans_EF150
4,Aureobasidium_JB70_TUB
4,Aureobasidium_sp_JB68_TUB
5,Aureobasidium_MCA7640_TUB
5,Aureobasidium_TAR230_TUB
6,Aureobasidium_MCA7387_TUB
6,Aureobasidium_SA46_TUB
6,Aureobasidium_SA57_TUB
7,Aureobasidium_INDP41_TUB
8,Aureobasidium_MT159_TUB
9,Aureobasidium_MCA7731_TUB
