GMYC_spec,sample_name
1,FJ150905_Aureobasidium_pullulans_var_aubasidani_CBS100524_TYPE
1,AJ244233_Aureobasidium_pullulans_CBS70176_TYPE
1,JN712493_Aureobasidium_proteae_CPC2826
1,Aureobasidium_MT159
1,FJ150908_Aureobasidium_pullulans_EXF150_TYPE
1,KT693737_Columnosphaeria_fagi_CBS_171_93_ITS
1,FJ150906_Aureobasidium_pullulans_CBS58475_NEOTYPE
1,KT693732_Aureobasidium_proteae_CBS_114273_ITS
1,FJ150902_Aureobasidium_pullulans_CBS14630
1,FJ150903_Aureobasidium_microstictum_CBS34266
1,Aureobasidium_JB68
1,Aureobasidium_JB70
1,FJ150897_Aureobasidium_lini_CBS12521_TYPE
1,MH854694_Aureobasidium_lini_CBS_125_21_ITS
2,Aureobasidium_INDP43
2,Aureobasidium_MCA3890
3,NR147362_Aureobasidium_namibiae_CBS14797_TYPE
3,Aureobasidium_MCA7096
3,Aureobasidium_MCA7156
4,ON426835_Aureobasidium_sp_as_A_xishuangbannaensis_KUMCC_ITS
4,MH857648_Aureobasidium_pullulans_CBS29856_TYPE
4,MK184533_Aureobasidium_pini_CFCC52778_TYPE
4,MK184534_Aureobasidium_pini_JN035_ITS
5,OP856707_Aureobasidium_insectorum_KCL139_ITS
5,Aureobasidium_INDP001
5,Aureobasidium_INDP41
6,MH188305_Aureobasidium_khasianum_AVP109
6,NR156246_Aureobasidium_leucospermi_CBS130593_TYPE
7,MH854707_Aureobasidium_melanogenum_CBS10522_TYPE
7,Aureobasidium_MCA5020
7,MT863788_Aureobasidium_acericola_ITS_DHL_2020a
7,Aureobasidium_mustum_AWRI4233
7,Aureobasidium_MCA7640
7,Aureobasidium_TAR230
8,ON007058_Aureobasidium_aerium_CFCC_50324_ITS
8,ON007059_Aureobasidium_aerium_CFCC_56931_ITS
9,Aureobasidium_uvarum_AWRI4620
9,Aureobasidium_vineae_AWRI4619
10,FJ150892_Aureobasidium_subglaciale_EXF2481
10,KT693736_Aureobasidium_subglaciale_CBS_123388_ITS
10,MG589216_Aureobasidium_melanogenum_HU9190
11,EU167576_Aureobasidium_caulivorum_CBS24264
11,KT693740_Aureobasidium_caulivorum_CBS_242_64_ITS
12,KP067091_Aureobasidium_zeae_TJ_3
12,KP226696_Aureobasidium_zeae_A.z_1
13,JX205092_Aureobasidium_iranianum_CCTU268_HOLOTYPE
13,KF758573_Aureobasidium_iranianum_SN_2014_ITS
14,KY089085_Aureobasidium_mangrovei_IBRCM30265_TYPE
14,KY089087_Aureobasidium_mangrovei_IBRCM30266
15,JX462674_Aureobasidium_thailandense_NRRL58539_HOLOTYPE
15,JX462675_Aureobasidium_thailandense_NRRL_58543_ITS
16,JN886794_Kabatiella_harposporium_F121513
16,KT693741_Kabatiella_harpospora_CBS_122914_ITS
17,MW364284_Aureobasidium_castaneae_JJ73
17,Aureobasidium_MCA7387
17,Aureobasidium_SA46
17,Aureobasidium_SA57
17,MW276135_Aureobasidium_microtermitis_GTS2_7_ITS
17,MW692853_Aureobasidium_microtermitis_SRA1_2_ITS
18,OP856703_Aureobasidium_intercalariosporum_MGL11_3_ITS
19,OP856710_Aureobasidium_motuoense_XZY411_4_ITS
20,KT693746_Selenophoma_mahoniae_CBS_388_92_ITS
21,KT693744_Aureobasidium_microstictum_CBS11464
22,NR_121524_Aureobasidium_bupleuri_CBS131304_ITS_TYPE
23,MK503657_Aureobasidium_tremulum_UN1
24,KU945836_Kabatiella_sp_SQU_KH09_as_A_faidherbiae_ITS
25,OQ628484_Aureobasidium_welwitschiae_CPC_43222
26,OP856711_Aureobasidium_planticola_MDSC_10_ITS
27,Aureobasidium_pullulans_MCA7097_ITS4
28,Aureobasidium_MCA7731
