GMYC_spec,sample_name
1,OP857204_Aureobasidium_intercalariosporum_MGL11_3_LSU
1,MH869192_Aureobasidium_pullulans_CBS29856
1,OP857208_Aureobasidium_insectorum_KCL139_LSU
2,MH188306_Aureobasidium_khasianum_NFCCI4275_28S
2,NG_058566_Aureobasidium_leucospermi_CBS_130593_28S_TYPE
2,MK184535_Aureobasidium_pini_CFCC52778_TYPE
2,MK184536_Aureobasidium_pini_JN035_28S
3,Aureobasidium_MCA5020
3,MT863787_Aureobasidium_acericola_LSU_DHL_2020a
3,Aureobasidium_MCA7640
3,Aureobasidium_TAR230
3,MH866219_Aureobasidium_melanogenum_CBS10522_TYPE
3,OP857211_Aureobasidium_motuoense_XZY411_4_LSU
4,MH874818_Aureobasidium_subglaciale_CBS123387_EXF2481
4,ON007081_Aureobasidium_aerium_CFCC_50324_LSU
4,ON007082_Aureobasidium_aerium_CFCC_56931_LSU
5,Aureobasidium_sp_JB68_LSU_new
5,Aureobasidium_JB70_LSU
5,FJ150945_Aureobasidium_microstictum_CBS34266
5,JN712559_Aureobasidium_proteae_CPC_2826_28S
5,FJ150952_Aureobasidium_pullulans_var_aubasidani_CBS100524
5,JN712558_Aureobasidium_proteae_CPC2825_EPITYPE
5,FJ150915_Aureobasidium_pullulans_EXF150
5,NG055734_Aureobasidium_pullulans_CBS58475_TYPE
5,FJ150916_Aureobasidium_pullulans_CBS14630
5,FJ150951_Aureobasidium_pullulans_CBS70176
6,FJ150946_Kabatiella_lini_CBS_125_21_28S
6,NG056962_Aureobasidium_lini_CBS12521_TYPE
7,Aureobasidium_SA46
7,Aureobasidium_SA57
7,Aureobasidium_MCA7387
7,MW364275_Aureobasidium_castaneae_JJ73
7,JX462674_Aureobasidium_thailandense_NRRL58539_TYPE
7,JX462675_Aureobasidium_thailandense_NRRL_58543_28S
8,Aureobasidium_MCA7731
8,MW031809_Aureobasidium_microtermitis_SRA1_2_28S
8,MW276136_Aureobasidium_microtermitis_GTS2_7_28S
9,KY089084_Aureobasidium_mangrovei_IBRCM30265_TYPE
9,KY089086_Aureobasidium_mangrovei_IBRCM30266
10,KF758577_Aureobasidium_iranianum_SN_2014_26S
10,NG057049_Aureobasidium_iranianum_CCTU268_HOLOTYPE
11,FJ150944_Aureobasidium_caulivorum_CBS_242_64_28S
11,MH870057_Aureobasidium_caulivorum_CBS24264
12,Aureobasidium_HU9190
13,Aureobasidium_INDP41
14,NG056961_Aureobasidium_namibiae_CBS14797_TYPE
15,Aureobasidium_MCA7156
16,OP363258_Aureobasidium_sp_as_A_xishuangbannaensis_KUMCC_LSU
17,Aureobasidium_INDP43
18,Aureobasidium_MCA7096
19,Aureobasidium_MCA3890
20,Aureobasidium_MT159
21,MK503660_Aureobasidium_tremulum_UN1
22,JN886794_Aureobasidium_harposporium_LSU
23,Aureobasidium_sp_MCA7097_LSU
24,OQ629066_Aureobasidium_welwitschiae_CPC_43222
25,FJ150940_Aureobasidium_microstictum_CBS11464
26,OP857212_Aureobasidium_planticola_MDSC_10_LSU
27,FJ150943_Selenophoma_mahoniae_CBS_388_92_28S
28,JN886792_Aureobasidium_bupleuri_F278240_LSU
