GMYC_spec,sample_name
1,Aureobasidium_MCA7096_TUB
1,Aureobasidium_MCA7156_TUB
2,Aureobasidium_INDP43_TUB
2,Aureobasidium_MCA3890_TUB
3,Aureobasidium_MCA7640_TUB
3,Aureobasidium_TAR230_TUB
4,Aureobasidium_pullulans_EF150
4,Aureobasidium_JB70_TUB
4,Aureobasidium_sp_JB68_TUB
5,Aureobasidium_HU9190_TUB
6,XM_013493393_Aureobasidium_subglaciale_EXF2481
7,Aureobasidium_INDP41_TUB
8,XM_013568929_Aureobasidium_namibiae_CBS14797
9,Aureobasidium_MT159_TUB
10,Aureobasidium_MCA7387_TUB
11,Aureobasidium_SA46_TUB
12,Aureobasidium_SA57_TUB
13,Aureobasidium_MCA7731_TUB
