GMYC_spec,sample_name
1,Aureobasidium_MCA7096
1,Aureobasidium_INDP43
1,OP857208_Aureobasidium_insectorum_KCL139_LSU
1,MH869192_Aureobasidium_pullulans_CBS29856
1,OP857204_Aureobasidium_intercalariosporum_MGL11_3_LSU
1,Aureobasidium_MCA3890
1,MH188306_Aureobasidium_khasianum_NFCCI4275_28S
1,NG_058566_Aureobasidium_leucospermi_CBS_130593_28S_TYPE
1,MK184535_Aureobasidium_pini_CFCC52778_TYPE
1,MK184536_Aureobasidium_pini_JN035_28S
2,Aureobasidium_MCA5020
2,MH866219_Aureobasidium_melanogenum_CBS10522_TYPE
2,OP857211_Aureobasidium_motuoense_XZY411_4_LSU
2,MT863787_Aureobasidium_acericola_LSU_DHL_2020a
2,Aureobasidium_MCA7640
2,Aureobasidium_TAR230
3,MH874818_Aureobasidium_subglaciale_CBS123387_EXF2481
3,ON007081_Aureobasidium_aerium_CFCC_50324_LSU
3,ON007082_Aureobasidium_aerium_CFCC_56931_LSU
4,KF758577_Aureobasidium_iranianum_SN_2014_26S
4,NG057049_Aureobasidium_iranianum_CCTU268_HOLOTYPE
5,FJ150943_Selenophoma_mahoniae_CBS_388_92_28S
5,JN886792_Aureobasidium_bupleuri_F278240_LSU
6,FJ150944_Aureobasidium_caulivorum_CBS_242_64_28S
6,MH870057_Aureobasidium_caulivorum_CBS24264
7,Aureobasidium_sp_JB68_LSU_new
7,Aureobasidium_JB70_LSU
7,FJ150951_Aureobasidium_pullulans_CBS70176
7,FJ150915_Aureobasidium_pullulans_EXF150
7,FJ150945_Aureobasidium_microstictum_CBS34266
7,FJ150952_Aureobasidium_pullulans_var_aubasidani_CBS100524
7,NG055734_Aureobasidium_pullulans_CBS58475_TYPE
7,FJ150916_Aureobasidium_pullulans_CBS14630
7,JN712558_Aureobasidium_proteae_CPC2825_EPITYPE
7,JN712559_Aureobasidium_proteae_CPC_2826_28S
7,FJ150946_Kabatiella_lini_CBS_125_21_28S
7,NG056962_Aureobasidium_lini_CBS12521_TYPE
8,Aureobasidium_HU9190
8,NG056961_Aureobasidium_namibiae_CBS14797_TYPE
8,Aureobasidium_INDP41
8,OP363258_Aureobasidium_sp_as_A_xishuangbannaensis_KUMCC_LSU
9,KY089084_Aureobasidium_mangrovei_IBRCM30265_TYPE
9,KY089086_Aureobasidium_mangrovei_IBRCM30266
10,MW031809_Aureobasidium_microtermitis_SRA1_2_28S
10,MW276136_Aureobasidium_microtermitis_GTS2_7_28S
11,JX462674_Aureobasidium_thailandense_NRRL58539_TYPE
11,JX462675_Aureobasidium_thailandense_NRRL_58543_28S
12,Aureobasidium_MCA7387
12,MW364275_Aureobasidium_castaneae_JJ73
13,Aureobasidium_MCA7156
14,Aureobasidium_MT159
15,Aureobasidium_SA57
16,Aureobasidium_SA46
17,Aureobasidium_MCA7731
18,JN886794_Aureobasidium_harposporium_LSU
19,Aureobasidium_sp_MCA7097_LSU
20,OQ629066_Aureobasidium_welwitschiae_CPC_43222
21,FJ150940_Aureobasidium_microstictum_CBS11464
22,OP857212_Aureobasidium_planticola_MDSC_10_LSU
23,MK503660_Aureobasidium_tremulum_UN1
